Samples,Setup time (ms),Solve time (ms)
100,1.988,23.483
200,3.747,37.507
300,5.517,58.064
400,7.362,78.313
500,9.008,99.42
600,10.874,127.494
700,13.799,146.09
800,16.954,161.914
900,18.194,187.886
1000,17.903,217.04
2000,39.291,552.881
3000,59.025,1014.51
4000,74.843,1546.99
5000,91.594,2194.11
